2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,대분류,구분,IPC코드
214.0,256.0,232.0,333.0,424.0,631.0,875.0,941.0,838.0,797.0,824.0,807.0,895.0,883.0,842.0,929.0,926.0,864.0,807.0,916.0,992.0,861.0,681.0,780.0,735,E,E03 상수; 하수,E03
672.0,772.0,828.0,952.0,1457.0,2002.0,2048.0,2301.0,2314.0,2401.0,2271.0,2310.0,2542.0,2728.0,2969.0,3111.0,2872.0,2920.0,3091.0,3133.0,3533.0,3321.0,2831.0,3118.0,3145,E,E04 건축물,E04
386.0,387.0,400.0,429.0,410.0,494.0,564.0,650.0,672.0,719.0,576.0,577.0,689.0,675.0,764.0,905.0,1061.0,797.0,822.0,923.0,824.0,757.0,637.0,728.0,685,E,E05 자물쇠; 열쇠; 창 및 문의 부속품; 금고,E05
140.0,124.0,186.0,220.0,245.0,404.0,444.0,508.0,516.0,608.0,635.0,623.0,722.0,822.0,788.0,881.0,814.0,877.0,976.0,996.0,1012.0,817.0,776.0,704.0,699,E,E06 도어; 창; 셔터 또는 롤러; 블라인드 일반; 사다리,E06
93.0,90.0,141.0,148.0,148.0,201.0,224.0,268.0,281.0,336.0,403.0,354.0,434.0,574.0,425.0,413.0,384.0,341.0,296.0,333.0,340.0,349.0,251.0,281.0,252,E,E21 지표 또는 암석의 굴착; 채광,E21
644.0,649.0,637.0,664.0,656.0,659.0,801.0,966.0,848.0,685.0,836.0,880.0,934.0,1123.0,1133.0,1249.0,1287.0,1110.0,1077.0,1015.0,825.0,773.0,676.0,603.0,592,F,F01 기계 또는 기관일반; 기계설비일반; 증기기관,F01
1166.0,1200.0,1104.0,1027.0,971.0,901.0,1175.0,1312.0,1360.0,1037.0,1124.0,1234.0,1211.0,1541.0,1517.0,1603.0,1453.0,1171.0,1166.0,932.0,726.0,507.0,391.0,444.0,439,F,F02 연소기관(열가스 또는 연소생성물을 이용하는 기관 설비),F02
162.0,201.0,180.0,235.0,239.0,257.0,335.0,515.0,752.0,1117.0,1077.0,1268.0,1277.0,1184.0,861.0,678.0,558.0,560.0,547.0,513.0,481.0,593.0,553.0,602.0,504,F,F03 액체용 기계 또는 기관; 풍력원동기; 스프링원동기; 중력 원동기; 다른 종류에 속하지 않는 기계동력 또는 반동추진력을 발생하는 것,F03
774.0,908.0,887.0,970.0,937.0,1017.0,959.0,952.0,935.0,778.0,822.0,742.0,837.0,953.0,1128.0,1066.0,976.0,1029.0,1085.0,1081.0,1128.0,996.0,1017.0,907.0,852,F,F04 액체용 용적형기계; 액체 또는 압축성 액체용 펌프,F04
69.0,58.0,62.0,73.0,80.0,105.0,95.0,101.0,111.0,95.0,133.0,166.0,166.0,170.0,173.0,152.0,131.0,143.0,124.0,155.0,132.0,142.0,116.0,112.0,110,F,F15 유체압 액튜에이터; 수력학 또는 공기역학 일반,F15
1956.0,1824.0,1850.0,1908.0,2275.0,2387.0,2891.0,3198.0,2869.0,2659.0,2829.0,3021.0,3215.0,3571.0,3455.0,3799.0,3778.0,3760.0,3603.0,3468.0,3216.0,3041.0,2658.0,2678.0,2672,F,F16 기계요소 및 단위; 기계 또는 장치의 효과적 기능을 발휘하고 유지하기 위한 일반적 수단; 단열 일반,F16
73.0,80.0,55.0,74.0,65.0,54.0,96.0,187.0,187.0,202.0,167.0,173.0,223.0,272.0,211.0,359.0,262.0,225.0,353.0,376.0,450.0,505.0,393.0,430.0,481,F,F17 가스 또는 액체의 저장 또는 분배,F17
125.0,140.0,150.0,187.0,214.0,291.0,427.0,699.0,1171.0,1694.0,1976.0,2115.0,2036.0,1968.0,1817.0,1970.0,1662.0,1413.0,1239.0,1293.0,1123.0,989.0,820.0,887.0,755,F,F21 조명,F21
39.0,36.0,13.0,21.0,19.0,23.0,23.0,38.0,72.0,48.0,77.0,113.0,75.0,101.0,93.0,112.0,124.0,112.0,85.0,105.0,70.0,67.0,84.0,88.0,104,F,F22 증기발생,F22
303.0,246.0,300.0,301.0,275.0,291.0,280.0,404.0,485.0,543.0,591.0,586.0,473.0,611.0,494.0,541.0,461.0,466.0,437.0,406.0,346.0,403.0,414.0,358.0,373,F,F23 연소장치; 연소방법,F23
1511.0,1326.0,1696.0,1745.0,2299.0,2489.0,2427.0,2451.0,2363.0,2196.0,2030.0,1825.0,1967.0,2196.0,2228.0,2100.0,2040.0,2282.0,2334.0,2669.0,2471.0,2142.0,2007.0,1981.0,1838,F,F24 가열; 레인지; 환기,F24
