application_year,term,tf,df
2018,y210f,3,1
2018,y217f,3,1
2018,게이팅 이온,3,1
2018,게이팅 이온 채널,3,1
2018,근긴장증,3,1
2018,내 투여,3,1
2018,내투여,3,1
2018,디벤조,3,1
2018,디옥시드,3,1
2018,리간드가트로판,3,1
2018,메톡시,3,1
2018,바레니클린,3,1
2018,생체 내,3,1
2018,생체 내 투여,3,1
2018,생체 외,3,1
2018,생체 외 투여,3,1
2018,생체내,3,1
2018,생체내투여,3,1
2018,생체외,3,1
2018,생체외투여,3,1
2018,세척 탱크,3,1
2018,세척탱크,3,1
2018,수용체 이온,3,1
2018,수용체 이온 포,3,1
2018,수용체 이온 포 어,3,1
2018,수용체이온,3,1
2018,수용체이온포,3,1
2018,수용체이온포어,3,1
2018,신경 교,3,1
2018,신경 교 세포,3,1
2018,신경교세포,3,1
2018,외 투여,3,1
2018,외투여,3,1
2018,의 lgic,3,1
2018,의lgic,3,1
2018,인쇄 기계,3,1
2018,인쇄기계,3,1
2018,클로로피리딘,3,1
2018,트로 판,3,1
2018,티오펜,3,1
2018,플루오로피리딘,3,1
2018,혼합물,3,1
2018,종 이상,2,2
2018,종이상,2,2
2018,-클로로,2,1
2018,-클로로 아닐린,2,1
2018,-클로로아닐린,2,1
2018,a298g,2,1
2018,acanthosis nigrican,2,1
2018,acanthosisnigrican,2,1
2018,an,2,1
2018,chrnb,2,1
2018,chrnb4,2,1
2018,cn,2,1
2018,cpvt,2,1
2018,d 아미노산,2,1
2018,d 아미노산 치환,2,1
2018,d아미노산,2,1
2018,d아미노산치환,2,1
2018,e.e.,2,1
2018,fcyenev,2,1
2018,g 치환,2,1
2018,g175a,2,1
2018,g175f,2,1
2018,g175h,2,1
2018,g175m,2,1
2018,g175r,2,1
2018,g175s,2,1
2018,g치환,2,1
2018,hair,2,1
2018,hair-an,2,1
2018,homomeric,2,1
2018,i 아미노산,2,1
2018,i 아미노산 치환,2,1
2018,i아미노산,2,1
2018,i아미노산치환,2,1
2018,kcnb,2,1
2018,kcnb1,2,1
2018,l 아미노산,2,1
2018,l 아미노산 치환,2,1
2018,l131a,2,1
2018,lgic 리간드가 트로,2,1
2018,lgic 리간드가 트로 판,2,1
2018,lgic리간드가트로,2,1
2018,l아미노산,2,1
2018,l아미노산치환,2,1
2018,mendenhall,2,1
2018,mendenhall syndrome,2,1
2018,mendenhallsyndrome,2,1
2018,mrrapslvlfflvalcgrgnc,2,1
2018,n 으,2,1
2018,n-,2,1
2018,n으,2,1
2018,p216i,2,1
2018,ph 세정제,2,1
2018,ph세정제,2,1
2018,q 치환,2,1
2018,q5,2,1
2018,q79a,2,1
2018,qsqpilntkemapqskppeelemssmpspvaplpartegvidmrsmssidsfiscatdfpeatrf,2,1
2018,qt 증후군,2,1
2018,qt증후군,2,1
2018,q치환,2,1
2018,r 아미노산,2,1
2018,r 아미노산 치환,2,1
2018,r 아미노산 치환 중,2,1
2018,rabson,2,1
2018,rabson-mendenhall,2,1
2018,r아미노산,2,1
2018,r아미노산치환,2,1
2018,r아미노산치환중,2,1
2018,s syndrome,2,1
2018,ssyndrome,2,1
2018,w298a,2,1
2018,x3,2,1
2018,가시 세포 증,2,1
2018,가시세포증,2,1
2018,간 드 인,2,1
2018,간 드 인 변형,2,1
2018,간드인,2,1
2018,간드인변형,2,1
2018,거대 증,2,1
2018,거대증,2,1
2018,검출 가능,2,1
2018,검출가능,2,1
2018,계면 활성,2,1
2018,계면 활성 화합물,2,1
2018,계면활성제,2,1
2018,계면활성화합물,2,1
2018,과잉 증,2,1
2018,과잉증,2,1
2018,근긴장 증,2,1
2018,글 리,2,1
2018,글 리 신,2,1
2018,글 리 신 수용체,2,1
2018,낭성섬유,2,1
2018,당뇨병,2,1
2018,도노휴 증후군,2,1
2018,도노휴증후군,2,1
2018,동형 체성 키메라 lgic,2,1
2018,동형 체성 키메라 lgic.,2,1
